"name"	"description"	"price"	"shopId"
"Porter Cable 1/2 18v Cordless Driver"	"Lorem ipsum lorem parturient dictumst ut et sodales velit felis id imperdiet?"	"87.95"	"87"
"Ad Tech Hi-temp Mini Size Glue Gun"	"Lorem ipsum nunc pellentesque a diam eget porta, interdum eget."	"232.31"	"17"
"Bostitch Prozhoze, 3/8"" X 50, Hopb3850"	"Lorem ipsum natoque at magna metus euismod consequat dignissim semper convallis."	"866.14"	"64"
"Trinity Stainless Steel Table"	"Lorem ipsum posuere aenean in nullam consectetur augue iaculis, aptent enim scelerisque eu."	"189.93"	"189"
"Speare Tools Adjustable Speaker-cutter Hole Saw, Ab 1610"	"Lorem ipsum ultricies aenean lobortis est facilisis congue mollis netus cras volutpat integer."	"360.9"	"124"
"Fry Technologies Cookson Elect Am53945 Flo-temp Lead-free Solid Wire Solder"	"Lorem ipsum tristique proin est vitae id enim fringilla class nullam velit ultricies magna."	"500.38"	"112"
"Ad Tech Multi-temp Full Size 4"" Glue Sticks, 50 Ct"	"Lorem ipsum risus egestas curae; porta duis donec praesent nunc quis mauris erat?"	"416.8"	"38"
"Black And Decker 20v Max Lithium Drill And Circular Saw Kit, Bdcd220rs"	"Lorem ipsum per integer himenaeos; cum placerat proin pharetra aliquet lacinia tristique sed commodo."	"456.67"	"182"
"Bostitch Prozhoze, 3/8"" X 100, Hopb38100"	"Lorem ipsum non, conubia mi sociis blandit libero convallis nulla!"	"592.25"	"9"
"Dremel Minimite Rotary Tool W/bonus Tools Set & Bag"	"Lorem ipsum non massa inceptos mi porttitor cursus auctor eleifend eros rhoncus."	"190.2"	"64"
"Ingersoll Rand Hammer Pin"	"Lorem ipsum dapibus egestas luctus a morbi congue semper pellentesque proin semper et tortor!"	"199.21"	"68"
"Black & Decker 17-piece Workbench Drill Bit Set, 15097"	"Lorem ipsum vivamus taciti gravida mus arcu sem praesent non id donec."	"961.26"	"180"
"Pentagon Tools 3/8 300psi Heavy Duty Retractable 100 Foot Air Hose & Reel Professional Grade"	"Lorem ipsum vulputate convallis a feugiat proin nam tempus scelerisque vivamus."	"840.42"	"51"
"Fry Technologies Cookson Elect Am53945 Flo-temp Lead-free Solid Wire Solder"	"Lorem ipsum torquent sociis netus magna sed quam tortor porttitor."	"120.61"	"64"
"Bostitch Prozhoze, 1/4"" X 100, Hopb14100"	"Lorem ipsum ut ultricies platea suscipit commodo ultricies eros libero."	"531.59"	"180"
"Drill America Cone Carbide Burr 1/4 Shank"	"Lorem ipsum consectetur dictumst sagittis varius dictum sed sociis scelerisque?"	"595.59"	"96"
"Striker Adjustable Garage Parking Sensor"	"Lorem ipsum phasellus dignissim rhoncus neque dictumst rutrum malesuada nullam elementum."	"161.13"	"108"
"Dremel Two Speed Rotary Tool Kit With 15 Accessories 200-1-15"	"Lorem ipsum convallis vel habitasse vestibulum dui curae; cursus phasellus nostra."	"810.04"	"65"
"Metabo W8-115qwc Compact Class Professional Series Angle Grinder, 4 1/2"" Wheel"	"Lorem ipsum blandit aptent ligula urna molestie praesent orci vestibulum."	"735.99"	"13"
"Irwin 7-piece Drive Set, 1885553"	"Lorem ipsum senectus semper volutpat suscipit nibh pellentesque, facilisis elit?"	"534.17"	"159"
"Worx Semi Automatic Sd Driver, Wx254l"	"Lorem ipsum leo gravida iaculis cum senectus inceptos, aliquam a ornare."	"590.09"	"121"
"Primefit 25-piece Air Compressor Accessory Kit"	"Lorem ipsum sodales feugiat rhoncus faucibus commodo quam venenatis cum nisl."	"278.5"	"24"
"Bostitch .5"" Vsr 2-speed Hammerdrill/drill, Bte140k"	"Lorem ipsum lacinia arcu iaculis nisi volutpat duis nullam inceptos taciti ipsum."	"490.34"	"50"
"Wagan Hi Speed Air Compressor"	"Lorem ipsum vestibulum quis quis nibh congue turpis sagittis mattis viverra non eleifend."	"495.88"	"19"
"Legacy Mfg Straight-on Tapered Chuck Inflator W/ 12 In. Hose, Brass Indicator Bar, 10-90 Psi"	"Lorem ipsum facilisi auctor nunc cum a phasellus potenti lacinia ligula curabitur?"	"365.37"	"70"
"Ingersoll Rand 1/2 Titanium Imp Wr W/2 Ext"	"Lorem ipsum posuere platea sociosqu augue, aenean luctus feugiat auctor vivamus."	"35.63"	"145"
"Professional Woodworker Pneumatic Brad Nailer And Air Stapler Combo Tool Kit"	"Lorem ipsum dolor aliquet accumsan ultrices sodales egestas eleifend cursus."	"203.48"	"123"
"Wagner Ht3500 Heat Gun"	"Lorem ipsum magnis, vivamus parturient parturient urna ipsum pulvinar blandit lectus metus lorem."	"6.26"	"124"
"Black & Decker Matrix Sanding Head Attachment, Bdcmts"	"Lorem ipsum consectetur lobortis cum aliquam consectetur ligula vehicula elit."	"518.58"	"49"
"Skil 360 Quick-select 4v Max 1.5ah Lithium-ion Screwdriver, 2356-01"	"Lorem ipsum habitant lacinia malesuada egestas tempus cum litora condimentum rhoncus lobortis vitae ipsum?"	"446.28"	"131"
"Porter Cable 352vs 3"" X 21"" Variable Speed Belt Sander"	"Lorem ipsum aenean eget per maecenas primis adipiscing luctus eleifend cum!"	"667.13"	"107"
"Fein Asb 14 + Afmm 14 14.4v, 4ah, Cordless Fmm + Hammer Drill"	"Lorem ipsum facilisi congue mus odio feugiat at id tincidunt faucibus mollis."	"976.69"	"63"
"Black & Decker 109-piece Basic Project Set, 71-0109"	"Lorem ipsum scelerisque cubilia libero metus suspendisse sed ridiculus condimentum euismod ad."	"213.59"	"31"
"Fry Technologies Cookson Elect Am32406 General Purpose Acid Core Solder"	"Lorem ipsum lacus nisl sollicitudin habitant montes enim quis fermentum velit egestas?"	"915.01"	"110"
"Kawasaki Composite Air Hammer Kit"	"Lorem ipsum habitasse suscipit risus nec tempus mus hac urna nunc morbi."	"488.67"	"193"
"Dremel Sm520 3"" Masonry Cut-off Wheel"	"Lorem ipsum lacinia commodo penatibus elit dis class venenatis odio dapibus dapibus condimentum sollicitudin."	"167"	"110"
"Hitachi 18-volt Lithium-ion Cordless Impact Driver, Hxp"	"Lorem ipsum nostra sed ad a orci leo consectetur ultrices faucibus dapibus nam nunc."	"461.85"	"111"
"Skil 74102 10in 200 Tooth Steel Circular Saw Blade"	"Lorem ipsum porttitor risus ad inceptos lobortis vivamus dignissim elementum, cum urna."	"580.85"	"158"
"Black & Decker 109-piece Basic Project Set, 71-0109"	"Lorem ipsum aliquam dis accumsan velit odio est sollicitudin enim laoreet."	"58.67"	"179"
"Stanley Fatmax 20-volt Lithium Cordless Hammer Drill, Fmc620la"	"Lorem ipsum sollicitudin potenti curabitur aliquam vel ante aliquam tristique magnis velit suscipit in."	"347.81"	"167"
"Skil 10 Count U Shank Jigsaw Blade Set 94910"	"Lorem ipsum arcu vel semper risus conubia venenatis diam interdum accumsan."	"93.13"	"104"
"Black & Decker 5.2 Amp 3/8"" Drill And Driver With Storage Bag, Dr260bozr"	"Lorem ipsum massa odio cubilia cum facilisi netus consequat augue venenatis adipiscing platea."	"463.85"	"196"
"Ingersoll Rand 705-93 Trigger"	"Lorem ipsum semper conubia eros cubilia blandit sociosqu montes conubia blandit felis ultrices aliquet."	"57.03"	"43"
"Dremel 225-01 Flex Shaft"	"Lorem ipsum diam integer mattis integer urna quam pretium turpis."	"229.1"	"69"
"Surebonder Ultra-mini Dual Temperature Glue Gun"	"Lorem ipsum feugiat habitant justo, amet egestas bibendum nam phasellus pellentesque dui ipsum sociosqu."	"110.5"	"186"
"Black & Decker 20v Smart Select Cordless Drill"	"Lorem ipsum nisl iaculis potenti leo cras primis sociis lacus aptent."	"254.69"	"68"
"Hitachi 18v Lithium-ion Cordless Impact Driver"	"Lorem ipsum molestie fringilla nascetur ipsum montes varius vitae fringilla."	"751.66"	"146"
